Version               : 0.3                  
System                : Sunbeam              
Analysis Type         : Area                 
Current time          : 19-Feb-2021 19:22:52 



Motion      : 1 
  Name      : Azimuth 
  Method    : Step    
  Minimum   : -180 
  Maximum   : 180 
  Step      : 5 
Motion      : 2 
  Name      : Elevation 
  Method    : Step    
  Minimum   : -90 
  Maximum   : 90  
  Step      : 5 
: END 

Record count :  2701 
Azimuth    Elevation Force(X)           Force(Y)           Force(Z)           
   degrees degrees                m^2                m^2                m^2 
---------- ------- ------------------ ------------------ ------------------ 
   -145.00  -15.00 -33.14933434161634 101.34139515921261 -70.96000882316966 
   -145.00  -10.00 -14.92185483894268  69.32159699435425 -48.53950477618240 
   -145.00   -5.00  -3.75901767218936  35.19549718324310 -24.64415243874542 
   -145.00    0.00  -0.00000000000000  -0.00000000000000   0.00000000000000 
   -145.00    5.00  -6.58690252649695 -61.67284368806818  43.18379005321445 
   -145.00   10.00 -26.14747040585370 -121.47178922863912  85.05546249771413 
   -145.00   15.00 -58.08736568118093 -177.57987592118911 124.34276775436153 
   -145.00   20.00 -101.43611079690470 -228.29228794362677 159.85198093326909 
   -145.00   25.00 -154.87657606820716 -272.06815431836901 190.50417256052458 
   -145.00   30.00 -216.78500000000003 -307.57736749727661 215.36799130429122 
   -145.00   35.00 -285.28032645828978 -333.74099800643722 233.68796261373905 
   -145.00   40.00 -358.28135960894895 -349.76407717226584 244.90744343098319 
   -145.00   45.00 -433.57000000000016 -355.15975184237828 248.68553550872312 
   -145.00   50.00 -508.85864039105104 -349.76407717226590 244.90744343098322 
   -145.00   55.00 -581.85967354171032 -333.74099800643722 233.68796261373905 
   -145.00   60.00 -650.35500000000002 -307.57736749727661 215.36799130429122 
   -145.00   65.00 -712.26342393179289 -272.06815431836907 190.50417256052461 
   -145.00   70.00 -765.70388920309540 -228.29228794362677 159.85198093326909 
   -145.00   75.00 -809.05263431881917 -177.57987592118911 124.34276775436153 
   -145.00   80.00 -840.99252959414639 -121.47178922863912  85.05546249771413 
   -145.00   85.00 -860.55309747350316 -61.67284368806818  43.18379005321445 
   -145.00   90.00 -867.14000000000010  -0.00000000000000   0.00000000000000 
   -140.00  -90.00 -494.86000000000001   0.00000000000000  -0.00000000000000 
   -140.00  -85.00 -491.10098232781070  32.91368828046437 -27.61786369682161 
   -140.00  -80.00 -479.93814516105726  64.82731079765672 -54.39657258052865 
   -140.00  -75.00 -461.71066565838368  94.77118828046436 -79.52246913237019 
   -140.00  -70.00 -436.97237656092881 121.83549116390533 -102.23211569993570 
   -140.00  -65.00 -406.47493826474039 145.19788430006429 -121.83549116390532 
   -140.00  -60.00 -371.14499999999998 164.14851319544042 -137.73695688059291 
   -140.00  -55.00 -332.05604406307026 178.11157258052864 -149.45335486072693 
   -140.00  -50.00 -290.39576860012858 186.66280196156202 -156.62868828046436 
   -140.00  -45.00 -247.43000000000006 189.54237656092877 -159.04493826474044 
   -140.00  -40.00 -204.46423139987138 186.66280196156200 -156.62868828046433 
   -140.00  -35.00 -162.80395593692975 178.11157258052864 -149.45335486072690 
   -140.00  -30.00 -123.71500000000000 164.14851319544042 -137.73695688059291 
   -140.00  -25.00 -88.38506173525958 145.19788430006429 -121.83549116390532 
   -140.00  -20.00 -57.88762343907126 121.83549116390533 -102.23211569993570 
   -140.00  -15.00 -33.14933434161634  94.77118828046436 -79.52246913237019 
   -140.00  -10.00 -14.92185483894268  64.82731079765671 -54.39657258052864 
   -140.00   -5.00  -3.75901767218936  32.91368828046437 -27.61786369682161 
   -140.00    0.00  -0.00000000000000  -0.00000000000000   0.00000000000000 
   -140.00    5.00  -6.58690252649695 -57.67444460154765  48.39460519351310 
   -140.00   10.00 -26.14747040585370 -113.59648038855443  95.31876479707313 
   -140.00   15.00 -58.08736568118093 -166.06694460154768 139.34671196589642 
   -140.00   20.00 -101.43611079690470 -213.49154873675155 179.14067980447450 
   -140.00   25.00 -154.87657606820716 -254.42932019552549 213.49154873675150 
   -140.00   30.00 -216.78500000000003 -287.63638550760663 241.35558499259861 
   -140.00   35.00 -285.28032645828978 -312.10376479707315 261.88615393026464 
   -140.00   40.00 -358.28135960894895 -327.08802912530592 274.45944460154760 
   -140.00   45.00 -433.57000000000016 -332.13388920309541 278.69342393179295 
   -140.00   50.00 -508.85864039105104 -327.08802912530598 274.45944460154760 
   -140.00   55.00 -581.85967354171032 -312.10376479707315 261.88615393026464 
   -140.00   60.00 -650.35500000000002 -287.63638550760663 241.35558499259861 
   -140.00   65.00 -712.26342393179289 -254.42932019552552 213.49154873675153 
   -140.00   70.00 -765.70388920309540 -213.49154873675155 179.14067980447450 
   -140.00   75.00 -809.05263431881917 -166.06694460154768 139.34671196589642 
   -140.00   80.00 -840.99252959414639 -113.59648038855443  95.31876479707313 
   -140.00   85.00 -860.55309747350316 -57.67444460154765  48.39460519351310 
   -140.00   90.00 -867.14000000000010  -0.00000000000000   0.00000000000000 
   -135.00  -90.00 -494.86000000000001   0.00000000000000  -0.00000000000000 
   -135.00  -85.00 -491.10098232781070  30.38138633604295 -30.38138633604295 
   -135.00  -80.00 -479.93814516105726  59.83964962198852 -59.83964962198852 
   -135.00  -75.00 -461.71066565838368  87.47971543449373 -87.47971543449373 
   -135.00  -70.00 -436.97237656092881 112.46175436039378 -112.46175436039378 
   -135.00  -65.00 -406.47493826474039 134.02669978844685 -134.02669978844685 
   -135.00  -60.00 -371.14499999999998 151.51931176421044 -151.51931176421044 
   -135.00  -55.00 -332.05604406307026 164.40808612448978 -164.40808612448978 
   -135.00  -50.00 -290.39576860012858 172.30140398238228 -172.30140398238228 
   -135.00  -45.00 -247.43000000000006 174.95943086898751 -174.95943086898751 
   -135.00  -40.00 -204.46423139987138 172.30140398238228 -172.30140398238228 
