Sail.SunInertial.VMAG     Sail.DeepSpaceSail_ForceModel.AccelerationX   Sail.DeepSpaceSail_ForceModel.AccelerationY   Sail.DeepSpaceSail_ForceModel.AccelerationZ   
21.46523246647038         2.447421976543424e-06                         7.07905634377824e-07                          3.590563597799427e-11                         
21.465232413875           2.447385197280721e-06                         7.080296268060362e-07                         9.922296450051047e-11                         
21.46523239225918         2.447274068697169e-06                         7.084041875762667e-07                         2.904975453920592e-10                         
21.46523347532588         2.446954999601633e-06                         7.094789273637795e-07                         8.393558650069726e-10                         
21.46525038330785         2.44584654897101e-06                          7.13204691102145e-07                          2.742382977400321e-09                         
21.46545047096863         2.442171567893836e-06                         7.254706321945866e-07                         9.011019021917995e-09                         
21.46730979023411         2.431202528588873e-06                         7.613232537872718e-07                         2.736476683764755e-08                         
21.48492833723271         2.39546144661578e-06                          8.7116462824138e-07                           8.388524016315474e-08                         
21.55135073578469         2.331000631830855e-06                         1.047853851767331e-06                         1.757503727851033e-07                         
21.66471069538622         2.256187303264073e-06                         1.224591620405334e-06                         2.688756319112637e-07                         
21.82508278113698         2.169604069534232e-06                         1.40239160184491e-06                          3.63908375853795e-07                          
22.03255993890291         2.070939003255072e-06                         1.582112713295928e-06                         4.614781857163668e-07                         
22.2872411223069          1.955519074522459e-06                         1.764415086616597e-06                         5.621821075173451e-07                         
22.52286103251418         1.852112124720714e-06                         1.911119633360344e-06                         6.446463333501052e-07                         
22.78472583478294         1.738020297301316e-06                         2.057881213299233e-06                         7.285789948500284e-07                         
23.07796127293998         1.607420340583829e-06                         2.207558600101849e-06                         8.158584671340231e-07                         
23.46143140628716         1.43281499983943e-06                          2.385824113307305e-06                         9.223815121923551e-07                         
23.91868783672523         1.216136842110621e-06                         2.57828107726347e-06                          1.041186197930463e-06                         
24.42208255822708         9.622208577821727e-07                         2.769306807164386e-06                         1.164100705092521e-06                         
24.97044987128571         6.667575829831649e-07                         2.955110568570868e-06                         1.290181906948677e-06                         
25.56191252422853         3.233755792236873e-07                         3.130035033903685e-06                         1.417685103006735e-06                         
26.19358581241437         -7.468305127344427e-08                        3.285984848217487e-06                         1.543747717316454e-06                         
26.76545096558631         -4.655120990198281e-07                        3.39644862608129e-06                          1.647670371029762e-06                         
27.36341022136478         -9.060408385084834e-07                        3.475771933227626e-06                         1.743917128711624e-06                         
27.95803993362601         -1.377759879229965e-06                        3.511223756556573e-06                         1.824104798978935e-06                         
28.560305904838           -1.89053631486149e-06                         3.49371599722309e-06                          1.885371338090907e-06                         
29.2168432854041          -2.489644554095478e-06                        3.398639882249773e-06                         1.92245776083543e-06                          
29.85246054649983         -3.109519026103392e-06                        3.210261859006277e-06                         1.91897859817798e-06                          
30.44062070196665         -3.713127871935504e-06                        2.925065204546545e-06                         1.86843368005533e-06                          
30.9701911952069          -4.274696359078948e-06                        2.545298080457964e-06                         1.768339111431279e-06                         
31.41850037965076         -4.758478745440331e-06                        2.097154137624205e-06                         1.625410838026487e-06                         
31.79232427058463         -5.153946967457529e-06                        1.594774765593348e-06                         1.445308234917743e-06                         
32.099532736399           -5.464727630232983e-06                        1.047047932230915e-06                         1.231842791223659e-06                         
32.34523738357409         -5.682652004846384e-06                        4.60176734820926e-07                          9.874309736597339e-07                         
32.52831037942604         -5.806873728738441e-06                        -1.490228795583642e-07                        7.189014711805899e-07                         
32.65250580511672         -5.828320137313642e-06                        -7.891393139763105e-07                        4.215889321444699e-07                         
32.71017198711147         -5.741129019993494e-06                        -1.428632617950635e-06                        1.089694022936386e-07                         
32.71416714451492         -5.685145254377087e-06                        -1.641722999736529e-06                        1.135945779515254e-09                         
32.71416714451492         -5.685145254377087e-06                        -1.641722999736529e-06                        1.135945779515254e-09                         
32.71416711658923         -5.684947118990851e-06                        -1.642391986703764e-06                        7.943641762277518e-10                         
32.71415667606782         -5.681996737135185e-06                        -1.65264461876341e-06                         -4.443008099952953e-09                        
32.71408177837559         -5.676150984629566e-06                        -1.672744723379337e-06                        -1.472403991295074e-08                        
32.70648016133524         -5.588894345612128e-06                        -1.932033008547934e-06                        -1.489642710399447e-07                        
32.63576065499552         -5.291685810534574e-06                        -2.535212596912399e-06                        -4.741007976340479e-07                        
32.54392761907845         -5.024114716886587e-06                        -2.917382326992359e-06                        -6.913499069020871e-07                        
32.40718541484352         -4.68342322730809e-06                         -3.288552998058528e-06                        -9.134886308718242e-07                        
32.33396401304675         -4.515898815779525e-06                        -3.438776584172261e-06                        -1.007466717195803e-06                        
32.25546537753277         -4.345359312408171e-06                        -3.575770007110682e-06                        -1.095795294369248e-06                        
31.83619992786215         -3.520620168443454e-06                        -4.05457883471006e-06                         -1.435865221468362e-06                        
31.32237536019065         -2.645722789014599e-06                        -4.324184363037592e-06                        -1.684236136927312e-06                        
31.02115728510187         -2.182368094459875e-06                        -4.388398318572507e-06                        -1.778424167018926e-06                        
30.69626941623094         -1.719656373121147e-06                        -4.403798042833492e-06                        -1.849527172507659e-06                        
30.0688331509012          -9.191093877154314e-07                        -4.318340128532268e-06                        -1.919103000261354e-06                        
29.41622650543866         -2.05800701523793e-07                         -4.117990785570145e-06                        -1.921858528887161e-06                        
28.75175876236896         4.066447002558278e-07                         -3.83876564106821e-06                         -1.873169555256657e-06                        
28.08540174947026         9.177941237532101e-07                         -3.51134130910792e-06                         -1.787441136536533e-06                        
27.42450864868898         1.333159598360795e-06                         -3.159898034206972e-06                        -1.676995715016167e-06                        
26.77500566849481         1.662331545180277e-06                         -2.802314809410256e-06                        -1.551713055261402e-06                        
26.1419844985573          1.916162583571861e-06                         -2.45101115088249e-06                         -1.419107135994725e-06                        
25.58966748545809         2.090113750553664e-06                         -2.146628889713945e-06                        -1.297920170830617e-06                        
24.99985191887662         2.232750833288326e-06                         -1.826589286184408e-06                        -1.164983591618229e-06                        
24.43755695619548         2.33183741635997e-06                          -1.527640146020151e-06                        -1.036139427315073e-06                        
23.90573311902714         2.394904743140961e-06                         -1.250472298885503e-06                        -9.128930912274545e-07                        
23.42155890431034         2.429313636270105e-06                         -1.002056291485087e-06                        -7.994438370855385e-07                        
22.95651597686151         2.443089791558708e-06                         -7.657338251813826e-07                        -6.88951298675953e-07                         
22.5279929384311          2.438345734489173e-06                         -5.479804803183604e-07                        -5.849504854960658e-07                        
22.137317025931           2.42020388886285e-06                          -3.469870007426401e-07                        -4.87098670873249e-07                         
21.87549497800018         2.40003142423771e-06                          -2.092321150154765e-07                        -4.190074042293019e-07                        
21.61082913145368         2.371428972006009e-06                         -6.545643159216615e-08                        -3.470512776814398e-07                        
21.32007073897496         2.3297995245834e-06                           1.012483609083828e-07                         -2.624849282050115e-07                        
21.12534442255204         2.29419198756806e-06                          2.21277883609591e-07                          -2.008438248104303e-07                        
20.94161744047364         2.25161687859652e-06                          3.447787189129259e-07                         -1.367656032622687e-07                        
20.75501241622116         2.196112954285713e-06                         4.877974439909149e-07                         -6.173266126927695e-08                        
20.60877987900479         2.13669875345556e-06                          6.242309406066684e-07                         1.067460750464757e-08                         
20.5081944894311          2.076621670701895e-06                         7.471652160101602e-07                         7.661448360999915e-08                         
20.43931277509401         2.009204863327597e-06                         8.742551862876576e-07                         1.454896118067945e-07                         
20.41532835374719         1.962249042379147e-06                         9.571572971094107e-07                         1.90814267662848e-07                          
20.41173171603914         1.886703710882522e-06                         1.079286176298583e-06                         2.581782042483507e-07                         
20.44622511764251         1.806807819029106e-06                         1.199578440125428e-06                         3.252593887327656e-07                         
20.51837610260021         1.721645282100406e-06                         1.318759493829535e-06                         3.924936093108917e-07                         
20.62721952338712         1.62900713273746e-06                          1.437451608559085e-06                         4.602916156839886e-07                         
20.77197493630828         1.529390280912026e-06                         1.556173925142284e-06                         5.290429421665639e-07                         
20.92678794171553         1.436130585168986e-06                         1.659708709977394e-06                         5.898604040245883e-07                         
21.13764600807751         1.318327616119999e-06                         1.779432375633584e-06                         6.613265917459494e-07                         
21.38303611433814         1.189194032157057e-06                         1.899923166893638e-06                         7.346739281203365e-07                         
21.66329458113144         1.046808013146928e-06                         2.02111256858875e-06                          8.101431845280637e-07                         
21.80578696151477         9.753314634991822e-07                         2.077674027001452e-06                         8.460400090110613e-07                         
21.96409527321687         8.955816311165295e-07                         2.137269813386225e-06                         8.843889065163686e-07                         
22.31376750042217         7.190026681966884e-07                         2.258663950489604e-06                         9.644296434291699e-07                         
22.70044323372731         5.212863873248949e-07                         2.378880223049151e-06                         1.046811123661218e-06                         
23.1261728964137          2.989176118485238e-07                         2.496402041042936e-06                         1.131318968391704e-06                         
23.59359086512131         4.785669177794617e-08                         2.609020229622249e-06                         1.217493564614189e-06                         
24.10565065481036         -2.371527702217438e-07                        2.713556455724462e-06                         1.304508730278933e-06                         
24.66595873653593         -5.604936466146717e-07                        2.80551648217568e-06                          1.391008776667182e-06                         
25.27896116366207         -9.277528577733907e-07                        2.878637167005799e-06                         1.474892769325517e-06                         
25.94935657727743         -1.344775834793148e-06                        2.924228390046206e-06                         1.552978988075331e-06                         
26.68160547282658         -1.81712373393194e-06                         2.930320422745958e-06                         1.620537732896471e-06                         
27.27673879887919         -2.212655533399761e-06                        2.899097042581341e-06                         1.660426239205737e-06                         
28.12369938883792         -2.792188865685542e-06                        2.793284607728307e-06                         1.691075610669669e-06                         
29.03376768970091         -3.429998498940896e-06                        2.589400184042937e-06                         1.684513090270444e-06                         
29.72434649722229         -3.919010834457008e-06                        2.36336365311978e-06                          1.647321286520742e-06                         
30.71627603380379         -4.622281670778538e-06                        1.911290571459443e-06                         1.53444456971341e-06                          
31.3286563281652          -5.045182761751659e-06                        1.543148161503265e-06                         1.42189761804966e-06                          
31.76317448794766         -5.337380867257883e-06                        1.232864037816273e-06                         1.317734978490973e-06                         
32.1685989498559          -5.59811538883711e-06                         9.008889546236501e-07                         1.199045730311509e-06                         
32.63590389101395         -5.876648455410676e-06                        4.592082721128581e-07                         1.031685044766874e-06                         
33.09284937480181         -6.121593707841971e-06                        -4.569449694434415e-08                        8.293198444252127e-07                         
33.48799566229508         -6.293891309684766e-06                        -5.540164225796525e-07                        6.152885246928069e-07                         
33.60374212956908         -6.335216361182937e-06                        -7.180273096281271e-07                        5.442019736040158e-07                         
33.71161781913475         -6.370685918080774e-06                        -8.779100374545601e-07                        4.739900211599082e-07                         
34.23081250204456         -6.453274614252967e-06                        -1.763595246066102e-06                        6.919882704606507e-08                         
34.59534150737053         -6.372266520858324e-06                        -2.550972975421588e-06                        -3.131679299599213e-07                        
34.8009096965698          -6.221077003305689e-06                        -3.099775619261801e-06                        -5.930588358686547e-07                        
35.07794917904953         -5.687609622977312e-06                        -4.133211211711605e-06                        -1.15613927542524e-06                         
35.16626533000937         -5.047052785784433e-06                        -4.847983927236353e-06                        -1.584414137172288e-06                        
35.1587560725869          -4.533409315361944e-06                        -5.240386036928468e-06                        -1.842344498942362e-06                        
34.95574813708821         -3.194052335732899e-06                        -5.840146327346335e-06                        -2.315330033736502e-06                        
34.51762417842978         -1.752984138062971e-06                        -6.015207014194466e-06                        -2.601412372227322e-06                        
33.9152168529389          -4.423530743611379e-07                        -5.824640053279897e-06                        -2.695178518157869e-06                        
33.13032780287877         7.421594449815873e-07                         -5.345229105409696e-06                        -2.633727223583977e-06                        
32.2513599951035          1.656515469707634e-06                         -4.709485889138347e-06                        -2.459602743332095e-06                        
31.27811817307305         2.335415284366035e-06                         -3.990257410926849e-06                        -2.212476185409161e-06                        
30.91690484412799         2.520994885135823e-06                         -3.729924356320684e-06                        -2.114572027511854e-06                        
30.53010896390562         2.687014079094831e-06                         -3.45765989644253e-06                         -2.008296911439289e-06                        
29.50733721477229         2.993117127985916e-06                         -2.776903567573768e-06                        -1.727319022328446e-06                        
28.49278289001417         3.148583777834711e-06                         -2.164250011609764e-06                        -1.45770119593798e-06                         
28.10361840251327         3.177609897094403e-06                         -1.946308061307929e-06                        -1.358154207858342e-06                        
27.73980852884758         3.191393617135991e-06                         -1.750962847579363e-06                        -1.267312459657043e-06                        
26.7823160781041          3.177744852317786e-06                         -1.274457909925321e-06                        -1.039174603549448e-06                        
26.07965202970682         3.129773789574483e-06                         -9.579156317282726e-07                        -8.822449397248207e-07                        
25.27855469976873         3.042258522175801e-06                         -6.286895764452743e-07                        -7.140822581502991e-07                        
24.46126096231508         2.925458967870133e-06                         -3.246636541313002e-07                        -5.538379791557868e-07                        
24.21152813806076         2.884977615168383e-06                         -2.377034931052092e-07                        -5.070420206192469e-07                        
23.90018266725742         2.831080029101612e-06                         -1.329114982215655e-07                        -4.500370788723558e-07                        
23.18382218784531         2.696354323137832e-06                         9.397374045444055e-08                         -3.241423181788865e-07                        
22.52560360863066         2.560233168353712e-06                         2.867180851888232e-07                         -2.142484523281214e-07                        
21.92462286216127         2.42479099470911e-06                          4.515608533243262e-07                         -1.178389133170643e-07                        
21.37949729393472         2.293353526491557e-06                         5.937003561610929e-07                         -3.270547660041346e-08                        
21.15081035484594         2.235415149439505e-06                         6.517331747512045e-07                         2.628530275746932e-09                         
