Sail.ElapsedDays          Sail.Sun.RMAG             Sail.Sun.SMA              
0                         228236400                 189000000.000001          
0.006944444445252884      228236399.9047841         188999999.2616657         
0.02792283642338589       228236398.4605915         188999997.0312352         
0.0881198831666552        228236384.6685699         188999990.6310558         
0.2968376840435667        228236226.0305579         188999968.440115          
0.9843518911584397        228234486.9110837         188999895.3482128         
2.997030499893299         228218665.9042748         188999681.5302901         
9.187083381024422         228069790.2157345         188999028.2822312         
19.18708338102442         227510218.9272723         188998001.6328687         
29.18708338102442         226558160.4468682         188997030.4078719         
39.18708338102442         225216749.7884619         188996136.0426696         
49.18708338102442         223490620.2781086         188995349.5505279         
59.18708338102442         221386113.5685979         188994736.6696429         
67.11841106315478         219453339.041862          188994459.6605213         
74.95001584751662         217321487.8713519         188994418.563004          
82.84241251284402         214954675.6440702         188994585.9417022         
92.14821131753342         211892466.8697728         188995008.892808          
102.1482113175334         208290423.3891098         188995683.001352          
112.1482113175334         204387862.4707833         188996517.0576209         
122.1482113175334         200212615.4485503         188997450.1185201         
132.1482113175334         195798905.6572686         188998435.9388916         
142.1482113175334         191188595.2766395         188999437.9147152         
150.7434602974718         187107294.0450285         189000303.7467774         
159.385659131116          182933823.5479977         189001231.1752802         
167.733313573819          178878709.8013222         189002212.9484777         
176.0398006520845         174867675.1736886         189003223.7956315         
185.0526692949534         170604551.2949961         189004308.3703962         
193.8924251897042         166584812.1848009         189005333.4887664         
202.3587409626634         162958284.0611048         189006261.9876408         
210.443259621843          159768554.3136525         189007085.3252702         
217.8948285523293         157123501.0811937         189007777.3497753         
224.853390164586          154956158.7685228         189008353.7947636         
231.4841525236552         153200789.9300633         189008822.4423088         
237.9378731203833         151813414.1099015         189009180.1713205         
244.235585011782          150789187.0034915         189009433.3153341         
250.6607579540396         150098959.9642489         189009632.4008054         
257.1054725797439         149779758.9333424         189009809.7776786         
259.29927196465           149757687.8878882         189009866.6139285         
259.29927196465           149757687.8878882         189009866.6139285         
259.3062164090952         149757688.1090899         189009866.8267927         
259.4126937084038         149757746.8946091         189009870.2219937         
259.6217138019529         149758164.7583378         189009882.313921          
262.3548129905757         149800481.8279113         189010789.5290621         
269.0913293164631         150195365.551881          189020878.1801449         
273.7958184253694         150712151.8793283         189040804.0823018         
278.9096648823506         151491187.6433246         189087940.4214087         
281.206062872785          151912178.1299515         189118944.5761513         
283.4595561414972         152366805.1279086         189157526.5246451         
293.4595561414972         154851350.9531305         189448795.2919632         
303.4595561414972         158019385.2929759         189967229.1822235         
308.7593022576402         159937082.9312099         190338073.8292412         
314.198605512207          162054487.9919083         190784783.5407229         
324.198605512207          166283514.6406275         191757672.469656          
334.198605512207          170861553.0162075         192857971.5160646         
344.198605512207          175695280.4537591         194010458.8008            
354.198605512207          180701188.007671          195144993.4049789         
364.198605512207          185804816.0708638         196200930.8368272         
374.198605512207          190939681.805205          197137562.0536825         
384.198605512207          196046382.32136           197935038.1920748         
393.2071396990941         200578783.5322136         198533469.8680403         
403.2071396990941         205491280.3605366         199068421.1811029         
413.2071396990941         210238506.526653          199477607.5753575         
423.2071396990941         214783702.3509965         199779830.4790431         
432.9043736902349         218968342.8289111         199991153.0365443         
442.9043736902349         223027045.1959353         200139363.9609644         
452.9043736902349         226801967.8515604         200235104.4384733         
462.9043736902349         230273543.9669764         200293593.405112          
470.2338316987261         232615732.9647244         200318510.7220521         
478.3319439664592         234997093.6429639         200334692.8352468         
488.3319439664592         237629867.5511099         200344174.4473064         
495.9561851506587         239402984.9590304         200346438.1515892         
504.1795622798236         241083801.2592448         200346708.3684671         
514.1795622798236         242799106.4067566         200345861.1470525         
524.1795622798236         244149269.5176746         200344854.6265514         
533.5474946243812         245079834.424749          200342464.2251022         
543.5474946243812         245714779.8739721         200335827.4457689         
550.2187759648914         245932151.1174949         200328234.5010147         
560.2187759648914         245948918.8137909         200306083.2918747         
570.2187759648914         245596189.8663018         200263580.7092748         
580.2187759648914         244875911.3792548         200196138.9721975         
590.2187759648914         243790648.3045186         200091476.0589025         
600.2187759648914         242343885.5184615         199938674.3937607         
608.9113468288378         240795484.85146           199761932.0790167         
618.9113468288378         238683236.047967          199496139.1455005         
628.9113468288378         236221242.9986146         199150084.5169707         
638.9113468288378         233414170.0493051         198718047.8620017         
643.5650409756418         231991497.9355771         198486397.616948          
648.4650900222623         230414383.2512253         198218999.8995817         
658.4650900222623         226946490.8552572         197593407.2661324         
668.4650900222623         223148377.3942987         196860510.4360386         
678.4650900222623         219025706.6729963         196023349.457977          
688.4650900222623         214584879.6314495         195089315.0298295         
698.4650900222623         209833635.7609206         194067246.9145738         
708.4650900222623         204781882.2932815         192973103.4018574         
718.4650900222623         199442928.896457          191834940.1987324         
728.4650900222623         193835398.4928012         190689148.7896453         
