Sail.ElapsedDays          Sail.Earth.RMAG           Sail.Earth.SMA            
0                         141864322.6860267         -1182.876552907586        
0.006944444445252884      141854978.539067          -1183.013122945019        
0.02792283642338589       141826751.1320023         -1183.42583258229         
0.0881198831666552        141745755.0319718         -1184.611320112093        
0.2968376840435667        141464943.65707           -1188.735834781979        
0.9843518911584397        140540217.6291235         -1202.4792843405          
2.997030499893299         137836105.2846652         -1244.156464149334        
9.187083381024422         129568296.1181108         -1387.46223004413         
19.18708338102442         116516971.486837          -1675.139369328826        
29.18708338102442         104104713.5879636         -2040.181633602142        
39.18708338102442         92674769.26645775         -2525.488801706828        
49.18708338102442         82690087.54924369         -3184.814293873771        
59.18708338102442         74631602.18288738         -4042.637582771899        
67.11841106315478         69930996.44256362         -4914.48781325234         
74.95001584751662         66971243.94314761         -5984.525462229703        
82.84241251284402         65722386.24252193         -7200.356483560648        
92.14821131753342         66326280.26009776         -8578.644665978587        
102.1482113175334         69045530.38978706         -9603.736342650898        
112.1482113175334         73222614.96165515         -9659.300569260355        
122.1482113175334         78185062.8168378          -8615.686237750218        
132.1482113175334         83406049.80766535         -7100.933985635166        
142.1482113175334         88442601.83120681         -5678.090321526197        
150.7434602974718         92400824.90163162         -4629.553908479747        
159.385659131116          95901161.60745028         -3773.897442348474        
167.733313573819          98712617.95450099         -3146.836033521082        
176.0398006520845         100894881.0054866         -2661.404472800963        
185.0526692949534         102547210.179286          -2242.22233578902         
193.8924251897042         103418059.0015042         -1927.614424596341        
202.3587409626634         103558737.292148          -1697.881644292172        
210.443259621843          103110457.4644188         -1520.670817980097        
217.8948285523293         102242053.654294          -1385.201395468545        
224.853390164586          101076810.3843993         -1283.752044393326        
231.4841525236552         99706453.07577923         -1204.985709368922        
237.9378731203833         98200133.41722897         -1139.419282395899        
244.235585011782          96634868.59626149         -1082.772105910684        
250.6607579540396         95006596.8509395          -1033.787633952712        
257.1054725797439         93420608.07767065         -993.1805023713547        
259.29927196465           92908201.7190661          -980.8820490512679        
259.29927196465           92908201.7190661          -980.8820490512679        
259.3062164090952         92906610.23499849         -980.8440597682874        
259.4126937084038         92882234.39636146         -980.2622447692698        
259.6217138019529         92834526.5910396          -979.1237542133105        
262.3548129905757         92229777.31641068         -964.6030583490337        
269.0913293164631         90929405.1484468          -930.2784967840063        
273.7958184253694         90224952.22750919         -907.3377227221482        
278.9096648823506         89690770.1841622          -884.2102962148676        
281.206062872785          89539393.55148804         -874.4729863647453        
283.4595561414972         89448978.3458441          -865.2639119141321        
293.4595561414972         89825713.10818851         -826.3827471936048        
303.4595561414972         91643239.26540044         -784.6219077935738        
308.7593022576402         93231582.79370068         -762.1206306613036        
314.198605512207          95317788.25188278         -739.4013628959808        
324.198605512207          100355649.9603199         -696.9992467309277        
334.198605512207          106913285.2563768         -651.3020890474281        
344.198605512207          114859543.6485614         -606.8844043766481        
354.198605512207          124050107.963804          -564.1359949378705        
364.198605512207          134362495.1262332         -521.9281281649968        
374.198605512207          145630969.7877418         -483.6040890161178        
384.198605512207          157710512.0434997         -448.5599900350171        
393.2071396990941         169193113.1408554         -418.9489749629487        
403.2071396990941         182463212.5810826         -390.0031188700519        
413.2071396990941         196154779.2182252         -364.231702539216         
423.2071396990941         210162061.268191          -340.6128595431555        
432.9043736902349         223905500.7344497         -320.7997609259066        
442.9043736902349         238122909.5426919         -302.5250239740249        
452.9043736902349         252284779.5545149         -285.764990429575         
462.9043736902349         266246884.7770503         -271.2956536632769        
470.2338316987261         276288819.2077252         -261.587192737072         
478.3319439664592         287149099.5441344         -251.3683594008233        
488.3319439664592         300118227.3319715         -240.0698619661966        
495.9561851506587         309609146.086131          -232.3591570144356        
504.1795622798236         319420733.8851846         -224.3417566025987        
514.1795622798236         330676559.8540897         -215.2829818732178        
