Sail.SunInertial.X        Sail.SunInertial.Y        Sail.SunInertial.Z        
-38027850.85132586        155639269.5970093         21548.50874168426         
-47679482.17824347        155442952.7483018         30374.06536427885         
-57765215.00384157        154732584.67689           38470.80760709196         
-83351694.19580998        150597107.6748555         54006.02245337516         
-107377861.1450839        143546936.1769212         62286.34096646309         
-116267584.5747391        140107059.6314139         63849.59813862294         
-124423080.9208219        136528164.3742798         64582.19699904323         
-145179235.5222928        125427643.5820076         63400.02938453853         
-159741192.1906963        115702885.6865969         59914.28054586053         
-175608916.0366195        102904005.8439702         53508.10567826778         
-190902522.8358691        87829399.75779384         44482.96090488881         
-195373179.9151875        82787437.69402415         41251.18904295191         
-200801245.435823         76196025.99893613         36922.22534481436         
-212606250.5052749        59647072.92240627         25697.99629272521         
-222458841.2212001        42547761.38620041         13824.97309041768         
-230416485.5177793        25084044.55003061         1633.413884932175         
-236541790.2553795        7419241.449566673         -10676.80674191099        
-238728320.2264483        -599380.2024855169        -16241.2130048876         
-240438122.1590568        -8035888.628782338        -21384.57484777831        
-243307928.6274069        -25701695.55469322        -33575.26616436802        
-244532894.1024407        -43194417.46645708        -45684.52668652683        
-244570783.2300406        -50581845.03171946        -50832.08221793547        
-244354558.6232027        -57347428.42957823        -55575.36985521391        
-242749486.1651888        -74259209.7358384         -67653.40241542831        
-239678809.1945675        -90720723.75478593        -79910.54794214666        
-236759715.7286325        -101697724.7905779        -88490.22727634758        
-233198880.3639046        -112401139.3087508        -97277.49737285078        
-226895197.9507849        -127464774.3072289        -110619.0633301958        
-219327609.8912746        -141809333.5182752        -124793.4864760339        
-210554119.7075868        -155362023.2298397        -140020.1603739411        
-200632520.7478247        -168051621.8269578        -156525.6302681491        
-189621170.5066019        -179807644.1152627        -174582.5629236698        
-177579079.351468         -190559764.434075         -194454.0875505358        
-164566421.9555621        -200237185.8632582        -216382.6432772279        
-150645299.7618949        -208767995.7030921        -240599.4007256031        
-135880822.7440913        -216078486.6553796        -267360.3795420825        
-120341741.0320551        -222092644.2311432        -296907.7528641671        
-104101401.1705578        -226731602.1051142        -329450.764674753         
-87239021.30012967        -229913072.24817          -365159.5313388109        
-69841236.67398253        -231550785.1309107        -404156.3817165643        
-52004047.49086564        -231553960.8785939        -446511.9206978977        
-33835260.50157899        -229826835.0247416        -492244.680082038         
-15457181.13685615        -226268391.1443791        -541274.4766879529        
2989831.696274281         -220772292.229769         -593384.0124340206        
21342823.87689889         -213227207.1481397        -648174.072422117         
39410490.82641302         -203517830.03633          -705001.9981526136        
56965881.21986642         -191527065.6237824        -762896.7813056558        
73737133.53100114         -177140137.6838576        -820449.0265907794        
88260310.13803805         -161616573.0740262        -871675.3934659213        
102536314.0770064         -142340957.0500799        -922458.6398443207        
109301716.8663843         -131135291.0513199        -946119.5732094347        
120362160.8037973         -107859731.7786268        -982298.2900847644        
126051087.3495545         -91346801.34427091        -997570.5637142658        
129560154.1819276         -77533420.3390009         -1003650.016970903        
132618451.5518234         -58591939.01613401        -1001812.9835914          
133689754.7998388         -36185464.1893106         -983684.2178023662        
133286404.5239417         -26331278.6582136         -969927.9383296687        
132495006.9637652         -17782545.15417145        -954970.7729360824        
130955471.2596923         -7332573.871038655        -932716.4806566513        
128813037.9613979         2908777.832242483         -906469.4029734577        
126321618.9471206         12127082.5732947          -878877.7140121637        
121318651.1092953         26440692.45394669         -828077.7916024532        
114807217.394269          40719231.89777007         -766841.670771677         
109567755.1578468         50140580.05837522         -720009.1415863968        
103409086.7896255         59648605.90861563         -666932.231653586         
95315720.25737059         70283953.25606474         -599729.1844523251        
76264804.2999858          89701560.84145933         -450349.4298856333        
57779348.50751819         103448400.0265622         -314970.2451773211        
30120279.60383653         117628171.723995          -127213.1024802998        
941677.6697386578         126341234.0701674         53933.60981237143         
-30854874.90948068        129907382.0376054         233678.3179797009         
-42462015.27856173        129814312.1238505         295078.9942180738         
-53897918.17011517        129020044.8630616         353498.2401715815         
-83107460.17204233        123840051.9123808         493785.7410874218         
-98374118.12128073        119290651.1289898         562226.9025018588         
-123725501.6333732        108742028.6720584         668781.152558662          
-140068702.1468582        99757988.13421722         732800.9115967676         
-160810248.107139         85475771.40726724         808632.9706324488         
-175099094.4244384        73394153.86864643         857066.2211199775         
-191272141.6485862        56909831.31824917         907588.3240140118         
-205065725.0804149        39710986.82209519         946207.1013942268         
-216631587.3128918        22076127.86442237         974278.031339379          
-226118980.4740372        4225974.995832547         992882.0801446782         
-229198588.2197365        -2551910.102607968        997651.7327170483         
-231841749.2048616        -8907980.051472602        1001054.091097005         
-238054491.3684924        -26733469.68413722        1005311.391386731         
-242551764.2261518        -44367843.09565999        1002180.928719915         
-243874545.0728172        -51222039.88395874        999049.4925371073         
-246169366.2113603        -68425444.61733884        986498.1691698097         
-247004836.4305818        -85222523.46851811        967632.714969039          
-246472891.3483246        -101545847.1598393        942759.6840438545         
-245847559.4104507        -108380219.2796298        930335.6905347481         
-245002664.8260428        -115045139.8577291        917022.7139478773         
-242154393.791007         -130342016.8365139        881715.2066855729         
-238161395.184331         -145016065.3113841        841034.1582257375         
-233090450.9839526        -159025004.1710595        795138.6887444854         
-228586168.913298         -169136079.3149056        757133.2041606233         
-223776887.5896398        -178385658.6008091        718280.3198550045         
-216296686.5951877        -190585924.6393225        660096.0549734682         
-207938066.9133395        -201994103.1971016        597122.1532010436         
-198751527.9589149        -212576434.0085423        529454.9286576957         
-188785328.0191355        -222299401.6188779        457196.9996146262         
-182364457.1873296        -227776664.8144128        411065.6392934769         
-175613028.1413924        -232966973.9132039        362804.2039568722         
-164079199.3741238        -240658352.5852702        280720.7663799524         
-151912337.1920288        -247378526.7778384        194365.0056369901         
-139156960.8518984        -253090064.6791039        103843.1607377529         
-125857939.7724714        -257753540.7663101        9281.020543053746         
-112061086.5958229        -261327101.3926181        -89172.37023557723        
-97813813.10226801        -263766011.4961906        -191339.8767527044        
-83165879.40237404        -265022158.6576667        -297009.581509009         
-68170291.93565001        -265043504.1765875        -405928.0997893959        
-52884456.21917127        -263773457.1920723        -517801.2708082199        
-37371404.15196156        -261150224.8143744        -632270.9192380905        
-21701351.8444384         -257106085.8405479        -748889.0028949231        
-5953730.293005541        -251566573.7545043        -867091.6806775033        
9780200.254919909         -244449585.2622856        -986164.5361854881        
25393935.43670399         -235664460.6463728        -1105196.091992646        
40761225.38113367         -225111103.3026985        -1223013.318922028        
55730043.70967606         -212679280.413468         -1338091.141307727        
70114394.70706871         -198248414.2945009        -1448424.395601451        
83682923.96354687         -181688431.2960345        -1551360.863020375        
96142918.02211559         -162862805.0226843        -1643384.422324002        
107118642.2704643         -141636262.8340746        -1719718.471241906        
113065502.6796338         -126953137.0430509        -1756932.218380913        
117676493.0199592         -112675452.5505447        -1781380.745978169        
123425169.6744437         -85815485.72223298        -1796332.80459214         
125504244.4833034         -56463599.43702811        -1764802.909478873        
125360287.3747096         -49714302.7279039         -1750065.027761806        
123059535.0150774         -26771213.46219629        -1677186.784160268        
122070066.8246648         -21252199.4688557         -1654065.581541819        
117145949.053188          -1886996.785292383        -1553936.074256952        
115275504.7157631         3698590.547477201         -1519128.570711309        
113243386.3793949         9139403.712725298         -1482443.848787651        
106545091.7899232         23991192.29317148         -1367117.127747661        
95914545.94376852         41797782.06986896         -1194784.928367306        
87992868.07140914         52293632.41505763         -1071816.043298546        
79914203.01684096         61332153.72447781         -949968.9409446269        
71060945.6890112          69752364.99087095         -819883.9012189917        
61452918.79970017         77484950.13403991         -682285.6284160651        
27618158.20603871         96188072.50379314         -222943.1868905202        
-7806664.704665624        105447759.1757258         221985.4318829775         
-36334580.60079858        106951157.566285          557258.3105530515         
-63279245.54743624        104037433.1741046         857303.22014945           
-84713676.07589145        98805914.53182405         1085499.146304801         
-108641582.5201617        89845038.7141487          1330047.529558465         
-122549084.9906942        83036117.38283393         1467413.434727162         
-134346360.2408926        76265600.99953607         1581213.652223196         
-157102992.4829409        60332673.02611905         1793446.000201691         
-175471544.8038673        44232633.8820708          1957185.221203566         
-186440129.161535         32924313.01006362         2051240.235636014         
-196237039.1827498        21512030.23724195         2132482.763793945         
-209751624.8692146        3201782.285802759         2239235.349186731         
-215020166.6615879        -4961177.331296267        2278751.362061851         
-219804132.1781665        -13006576.13104561        2313342.765103304         
-229273946.709242         -31245574.77646165        2377052.17766449          
-236909515.9812333        -49237266.3574856         2421556.000254229         
-238791841.8040476        -54352285.96757234        2431090.903889488         
-240407505.2516099        -59035927.56914376        2438650.45932496          
-245538508.8235719        -76463740.92846872        2457137.479125224         
-249241904.3490286        -93446354.14936948        2460782.609323882         
-251640046.9486068        -109937673.6432859        2450831.160988465         
-252128162.7301501        -114861773.2927827        2445263.160412408         
-252530015.5273954        -120071141.8436139        2438056.643034995         
-253022083.8810139        -135688434.0798677        2408171.822056748         
-252462271.5539577        -150736065.9604438        2367175.301298648         
-250927036.7401076        -165194235.4026019        2315791.137874834         
-248484355.9259917        -179046450.1228557        2254670.756145939         
-246409580.1198469        -187831996.561476         2209384.721008509         
-244111173.8698148        -195931670.8722177        2162791.50431253          
-239813895.0012035        -208348962.6398363        2081514.965076879         
-234787963.2892358        -220119135.6854884        1992175.24017252          
-229077535.3171417        -231231573.628201         1895177.547707036         
-222723081.6071133        -241675915.2837824        1790899.37379536          
-215761912.585969         -251441787.4750328        1679694.672641814         
-208228629.5090974        -260518576.1873293        1561897.933643863         
-200155540.7524539        -268895216.1278529        1437825.941948205         
-192026124.4864798        -276183643.5707751        1314592.835996702         
-182987288.208805         -283161577.2697915        1179108.06305483          
-173494185.9017878        -289402386.309959         1038163.375954852         
-163573341.850358         -294891570.1156613        892023.3829780817         
-153250456.5884884        -299613368.8892456        740952.7405230999         
-142550665.4811647        -303550591.2477165        585219.178118214          
-131498796.8298324        -306684429.5651429        425096.8181210756         
-120119635.1297811        -308994252.3708163        260870.2026008219         
-108438210.0959196        -310457367.7700861        92838.64855334163         
-96480114.84593047        -311048768.5612772        -78679.32258740067        
-85578278.87352481        -310817051.370686         -234669.7354747057        
-73169940.21980344        -309679428.9431412        -411830.2494511157        
-60565735.7737063         -307581733.3988307        -591406.2046187073        
-47797405.83961081        -304486643.3225008        -772947.2274255008        
-34899637.53947695        -300352536.6104691        -955939.5411762893        
-21910896.49835537        -295132851.0927664        -1139789.313153118        
-8874472.977070466        -288775316.1374403        -1323800.774244994        
4160165.636864685         -281221028.9152328        -1507147.933722124        
17135612.96810248         -272403356.8431609        -1688837.497529343        
29984198.95411571         -262246612.7632818        -1867658.16379118         
42624851.8917772          -250664456.8932327        -2042110.806642339        
54958783.92579105         -237557989.2714948        -2210310.822265238        
66863441.80945636         -222813514.2882699        -2369848.638208851        
78183841.60138334         -206300025.7877106        -2517585.934994116        
88719773.45097262         -187866612.4971454        -2649362.180454522        
98206375.29994287         -167340402.2345585        -2759567.260077178        
106284678.9458306         -144526960.4703858        -2840399.726706184        
111207794.7323323         -125410297.5228843        -2875613.481971793        
115451368.4824973         -98056624.2484047         -2874201.990150213        
116467511.148961          -78854030.02931799        -2835251.03360739         
115885070.7230577         -60627867.32354384        -2767016.74402786         
113818394.2917358         -43112299.20587985        -2669959.490361819        
109423576.8318061         -22933000.24179883        -2514771.695622578        
107558352.0443637         -16617600.33705844        -2455459.838380468        
101477926.6527699         -224619.0914159965        -2273962.30822504         
99504373.92747222         4186744.98420232          -2217591.055492572        
91215981.59830752         19722684.31587267         -1989124.112579535        
81950957.3050019          33245514.37385234         -1744528.850801352        
78429625.53263764         37637193.67048016         -1653738.963906294        
66822739.45805901         49944195.89796556         -1361140.722292032        
56881384.20631777         58394546.0390604          -1117413.782314312        
48248314.25778903         64496290.47300389         -910230.0626027994        
38260082.00292388         70354085.25180991         -675239.3243933879        
20054416.81304218         78259958.71890725         -258862.2900689431        
1183637.279457394         83298087.10854611         157869.2892946489         
-36618381.50090721        85458982.86111453         952673.1380512789         
-68574178.94653046        80106885.60472326         1588844.637315605         
-102755598.9240532        67537606.27529687         2238614.612890836         
-129243789.5059589        52774183.40299422         2722396.030809592         
-149120945.2456253        38530721.76423105         3074319.964788681         
-163636668.6775607        26197128.63862102         3324972.871052196         
-182748885.1888781        7064239.101991275         3645893.984249901         
-194851296.9903388        -7069039.203816954        3842874.808042454         
-209124196.1050436        -26245290.65877493        4067488.555426423         
-220900613.8960398        -44677690.43174304        4244687.050184868         
-226652995.8524072        -54786609.10126621        4327746.71433131          
-235915183.9202532        -73076417.6626571         4455002.552593581         
-243627098.4937268        -90886580.84423676        4552412.822237741         
-249969197.3525832        -108184631.6645391        4623495.803682454         
-253904812.7195667        -120767857.9992378        4661184.461014189         
-257128864.3418772        -132717660.4926227        4686265.943872042         
-260669361.4815588        -148684955.5820339        4703600.573124923         
-263261199.5624652        -164105634.8994147        4702694.777416632         
-264987114.1632579        -178979944.7856319        4685113.291529454         
-265918392.9459825        -193309970.3215424        4652210.68635951          
-266116960.3760464        -207098890.2042628        4605168.831562534         
-265637038.4158077        -220350465.4209896        4545022.024597913         
-264526546.4393228        -233068659.8277431        4472666.224610642         
-262828002.4194266        -245257430.311226         4388894.715187937         
-260579313.1200282        -256920568.5595577        4294419.186465859         
-257814460.5333156        -268061581.2109351        4189881.644527927         
-254564065.3993322        -278683606.58531          4075864.265751332         
-250855850.4785452        -288789352.8744485        3952897.916983545         
-246715033.6412707        -298381046.1944411        3821469.376518473         
-242164665.5133771        -307460400.4435832        3682026.821082756         
-237969371.7775917        -314811194.9122953        3556880.866402373         
-233620586.1998916        -321615430.403819         3429833.519352376         
-228070343.5727963        -329322640.4362139        3270820.54056251          
-222181119.8061113        -336519033.0987052        3105165.282427043         
-215969012.8648012        -343203643.0272803        2933182.569111988         
-209449101.552536         -349374889.6865475        2755170.784099966         
-202635568.9346157        -355030556.7789775        2571414.525516033         
-195541817.4337071        -360167761.2868739        2382187.172870636         
-188180581.5116275        -364782927.9858866        2187752.5895648           
-180564022.7175688        -368871764.5945894        1988366.918793112         
-172703816.5148991        -372429226.5778338        1784280.606399447         
-164611236.5455891        -375449475.5293067        1575740.326670408         
-156297236.5537969        -377925831.7717059        1362990.846094877         
-147772530.9147145        -379850720.5153379        1146276.880140513         
-139047673.5585067        -381215610.9378868        925845.0491040647         
-130133134.7132411        -382010941.8342681        701946.287406981          
-121039389.0511936        -382226030.1476379        474838.3421512246         
-111777013.6627183        -381848977.8528014        244787.8726444244         
-102356788.1603353        -380866563.6368309        12072.74635067582         
-92789823.40261012        -379264107.0041599        -223017.357773751         
-83087667.60910791        -377025320.7463403        -460175.0240983665        
-73262437.04222685        -374132136.9683907        -699069.3475908637        
-63326979.63569605        -370564500.9069971        -939340.6484514177        
-53295065.83051529        -366300128.7594061        -1180594.04065305         
-43181614.8273352         -361314214.8050545        -1422391.257615447        
-33002980.82429656        -355579080.3991668        -1664241.010695219        
-22777304.12250157        -349063766.7000938        -1905587.49883455         
-12524939.50687627        -341733540.1634197        -2145795.399650812        
-2268999.932861835        -333549287.1488594        -2384130.658095762        
7963944.861609384         -324466772.9489785        -2619735.791526094        
18142959.90919787         -314435727.7297738        -2851597.618967161        
28231546.34920904         -303398708.9286777        -3078504.41296564         
38186035.80111053         -291289670.344304         -3298987.876369148        
47953395.13724631         -278032136.081535         -3511242.982317954        
57468150.68670373         -263536858.2658201        -3713016.033781067        
66648004.49733607         -247698790.1467481        -3901443.835172996        
75387418.42682187         -230393116.9753861        -4072815.456606522        
83547924.48211947         -211470026.7278943        -4222209.333199099        
90942966.043809           -190747837.8000276        -4342922.712235764        
97121154.97182776         -168795754.7959344        -4423557.282115743        
102145758.3524444         -143838093.1791396        -4456457.365894362        
105228228.9827201         -116263004.6915035        -4417563.939627297        
105634510.5294452         -108012657.0820291        -4389700.942526944        
105797092.9990376         -99100548.02324876        -4350704.484716579        
103805743.9289776         -66617833.12951878        -4123157.477198537        
99858588.64030389         -44515158.12123951        -3879679.199246544        
97063498.79501198         -33797449.80328848        -3730530.762629196        
94852377.44004613         -26694131.71366509        -3618802.273785004        
92551774.68869939         -20185966.97339793        -3506482.803603567        
89261085.69839364         -12028570.0124805         -3350853.471268089        
86255687.17294496         -5477956.187495453        -3212560.196494852        
82873809.50131847         1098172.360749985         -3060290.910663911        
80270969.69580463         5690181.503677886         -2945055.639793084        
72996527.97176254         16821947.26397691         -2630054.659711231        
70718490.73365673         19882088.21093631         -2533187.025527844        
68423701.71455038         22790690.56032517         -2436340.006762595        
47078510.01143654         43426251.11759176         -1563830.970144704        
36029564.09393878         50704424.24337242         -1128570.299500652        
23475010.08325151         56885562.91987695         -645487.5317785405        
12952485.85424836         60618407.02129629         -249298.4721309319        
3089461.640960723         63067301.2033795          115325.9573268481         
-24159776.75931299        65272064.31408395         1091947.97049959          
-54257285.93699364        61003618.97709315         2125531.383068841         
-72021749.31116889        55532033.89221933         2716966.048380163         
-82475344.4268432         51337043.35571124         3059311.151165616         
-107053445.371973         38671245.33502997         3849049.180069841         
-118682136.783601         31301587.59747047         4215674.234830014         
-128811575.8049625        24146155.46857604         4531453.2099705           
-137812236.7709192        17198977.9183401          4809250.499655884         
-145575522.2483975        10748884.15263937         5046729.861387373         
-167849834.0540226        -10243819.95511246        5716697.602062125         
-177125964.7027683        -20151904.44931594        5990406.89798338          
-184901432.963327         -29031657.41486981        6217213.627290868         
-201152284.5151219        -49443023.19187205        6682662.400889052         
-210557652.3394971        -62531782.47260278        6946051.899545357         
-218440863.8750982        -74319866.26281482        7162887.186362933         
-230172173.4592376        -93439140.77083491        7477766.436929986         
-240418156.427132         -111955164.2167324        7743516.461393923         
-247581824.5683818        -126116772.0940331        7922954.730921343         
-253923234.5245497        -139657229.768439         8076417.631641693         
-261230653.3197934        -156682499.8783331        8245447.533692814         
-267628999.1939535        -173157439.0545418        8384627.508614324         
-273215779.7610802        -189101382.057621         8497185.25655508          
-278072088.5773882        -204533179.702547         8585807.34780921          
-282266183.0853167        -219470802.4905775        8652757.103945702         
-285856130.0740615        -233931157.310433         8699961.69389151          
-288891812.6609241        -247930020.290489         8729075.580135673         
-291416526.8437091        -261482022.2407503        8741521.071239814         
-293468081.4327517        -274600710.5201516        8738537.148865253         
-295079686.7528105        -287298611.1135964        8721214.75600931          
-296280702.0910366        -299587287.6082118        8690520.545665562         
-297097234.8938853        -311477413.5919592        8647315.60528855          
-297552620.1741902        -322978840.0352712        8592371.047534615         
-297667814.0458224        -334100656.0261687        8526380.858665332         
-297461719.6013573        -344851245.5546709        8449972.467304379         
-296951458.2946813        -355238340.3726253        8363715.508352488         
-296152596.8842097        -365269069.4398679        8268129.139287025         
-295079335.2855545        -374950003.7680296        8163688.363345087         
-293744665.926912         -384287189.2467181        8050829.708845139         
-292160520.4493047        -393286178.9417248        7929955.518535316         
-290337890.6880875        -401952071.242057         7801437.471677482         
-288286938.4058506        -410289537.0234618        7665618.71885708          
-286017093.6228876        -418302841.7022371        7522815.567128479         
-283537112.7060175        -425995872.8936425        7373322.532765418         
-280855144.298485         -433372161.9763013        7217414.8425394           
-277978789.1017252        -440434904.1186218        7055350.280138999         
-274915148.5745153        -447186975.0086588        6887371.042590022         
-271670871.0657762        -453630937.8653181        6713705.585783362         
-268252202.023905         -459769056.332369         6534569.609416395         
-264665020.9454157        -465603312.063192         6350167.034075826         
-260914871.6984805        -471135415.25825          6160691.209944874         
-257006991.5714568        -476366812.6318012        5966325.983970404         
-252946338.1019676        -481298694.6327739        5767246.624247909         
-248737613.4404346        -485932002.218108         5563620.627765924         
-244385285.0391229        -490267433.7226797        5355608.465705901         
-239893600.3274284        -494305447.4383302        5143364.567056179         
-235266606.4450709        -498046256.1532849        4927038.236442834         
-230508174.5539823        -501489831.0639262        4706773.837321311         
-225622013.3711386        -504635906.990562         4482711.245429039         
-220611681.1080674        -507483981.1989219        4254986.50415501          
-215480598.546895         -510033310.6226046        4023732.381407261         
-210232062.0346859        -512282908.5871664        3789078.846443802         
-204869255.944425         -514231541.368672         3551153.483123958         
-199395262.6249075        -515877724.7918324        3310081.926903069         
-193813068.6960194        -517219714.7428159        3065988.633891851         
-188125580.6520946        -518255492.2290725        2818997.408183008         
-182335642.0850734        -518982759.158013         2569231.370350927         
-176446041.9530124        -519398931.8086498        2316813.360699713         
-170459523.8129697        -519501128.5764489        2061866.497755617         
-164378796.8071332        -519286156.23943          1804514.691857725         
-158206547.2647943        -518750495.2168939        1544883.148303986         
-151945450.3488262        -517890284.0574359        1283098.878482729         
-145598179.1763441        -516701302.4915516        1019291.359280974         
-139167413.5013332        -515178945.1614949        753593.4913727939         
-132655865.5563325        -513318190.6320731        486141.4821901917         
-126066294.377287         -511113581.2097921        217075.6908619404         
-119401513.9009079        -508559195.5669928        -53457.95739638805        
-112664407.8791128        -505648613.1438709        -325306.8566229641        
-105857947.9237413        -502374874.1979159        -598310.561036706         
-98985214.04853861        -498730435.2156528        -872299.527526468         
-92049417.33606316        -494707119.4677119        -1147093.7193726          
-85053922.18990317        -490296060.3642815        -1422500.847188801        
-78002273.11595173        -485487628.8637174        -1698314.080628783        
-70898237.21434824        -480271355.146359         -1974310.097627044        
-63745845.94054895        -474635848.4306999        -2250246.882934272        
