Sail.ElapsedDays          Sail.Sun.TA               
0                         180                       
0.006944444445252884      180.0032336475951         
0.02792283642338589       180.013002136294          
0.0881198831666552        180.0410326041198         
0.2968376840435667        180.1382210838194         
0.9843518911584397        180.4583608137214         
2.997030499893299         181.3956201906915         
9.187083381024422         184.2799547015688         
19.18708338102442         188.9531594583912         
29.18708338102442         193.6574246396361         
39.18708338102442         198.4094949103682         
49.18708338102442         203.2267250265455         
59.18708338102442         208.1273130668727         
67.11841106315478         212.0861559586493         
74.95001584751662         216.0685477365069         
82.84241251284402         220.1660182107906         
92.14821131753342         225.1209222493225         
102.1482113175334         230.615792935103          
112.1482113175334         236.3125592191298         
122.1482113175334         242.2392916717775         
132.1482113175334         248.4261402292545         
142.1482113175334         254.9051669942567         
150.7434602974718         260.7330981464205         
159.385659131116          266.8575374658758         
167.733313573819          273.0457002280245         
176.0398006520845         279.4876439522138         
185.0526692949534         286.8168410012065         
193.8924251897042         294.3630781163366         
202.3587409626634         301.9299458615122         
210.443259621843          309.4640686394329         
217.8948285523293         316.6661633706958         
224.853390164586          323.6005484385482         
231.4841525236552         330.3774057061078         
237.9378731203833         337.1098582152264         
244.235585011782          343.7846193252943         
250.6607579540396         350.6724568611593         
257.1054725797439         357.6278605739079         
259.29927196465           0                         
259.29927196465           0                         
259.3062164090952         0.007509673996578397      
259.4126937084038         0.1226523506478624        
259.6217138019529         0.3486703416657256        
262.3548129905757         3.301916841408941         
269.0913293164631         10.5503943145336          
273.7958184253694         15.56390188208805         
278.9096648823506         20.93674872415747         
281.206062872785          23.31898132547572         
283.4595561414972         25.6342394615641          
293.4595561414972         35.59100100177574         
303.4595561414972         44.94417949897814         
308.7593022576402         49.63270844073521         
314.198605512207          54.24661138410202         
324.198605512207          62.21865404063309         
334.198605512207          69.59795971832892         
344.198605512207          76.4714550419048          
354.198605512207          82.93090968766195         
364.198605512207          89.06422572887941         
374.198605512207          94.94170482381676         
384.198605512207          100.6134527718669         
393.2071396990941         105.5721500533105         
403.2071396990941         110.9329650890216         
413.2071396990941         116.1603490270858         
423.2071396990941         121.2619871266717         
432.9043736902349         126.0915895392622         
442.9043736902349         130.960123341559          
452.9043736902349         135.7174761763104         
462.9043736902349         140.3681013829296         
470.2338316987261         143.7153083275631         
478.3319439664592         147.3549545253634         
488.3319439664592         151.7707737675643         
495.9561851506587         155.0866300696346         
504.1795622798236         158.6178941812585         
514.1795622798236         162.8558741712058         
524.1795622798236         167.0448136786648         
533.5474946243812         170.9300897222466         
543.5474946243812         175.044095011294          
550.2187759648914         177.7753645901939         
560.2187759648914         181.85119112061           
570.2187759648914         185.908433941518          
580.2187759648914         189.9560924749045         
590.2187759648914         193.9933280822331         
600.2187759648914         198.0209675572377         
608.9113468288378         201.5189025759164         
618.9113468288378         205.5372554324395         
628.9113468288378         209.5464946418198         
638.9113468288378         213.5529392789712         
643.5650409756418         215.4187425710477         
648.4650900222623         217.3835812580827         
658.4650900222623         221.3956237543961         
668.4650900222623         225.4235787449828         
678.4650900222623         229.488157857238          
688.4650900222623         233.6171907556839         
698.4650900222623         237.8426697750061         
